@	㘶
@G	㎆
@U	䡢
@d	儡
@f	㉂
@k	㚉
@kt	刈
@kts	剒
@l	䒂
@m	䍕
@n	㖘
@nd	ㄷ
@nt	䤠
@nts	䙰
@sk	䌴
@skt	䡩
@t	ひ
@z	㥐
C@	䝤
C@ns	䒖
C@t	刐
CE	㤖
CEk	㕶
CEr	剱
CI	㔄
CIG	㕴
CIl	䁢
CIm	䅨
CImp	劗
CIn	㜗
CInz	䆙
CIp	䡵
CIps	㡠
CIz	㘳
CO	㢗
CR	㔢
CRp	䢒
CRz	䤈
CYmz	䘂
C^	䅄
Capt	䢈
Cen	䊖
CenJ	㑄
CenJd	㑀
Cer	㒕
Ces	㙹
Cest	兘
Ci	㞓
Ciks	䡸
Cip	䈸
Cir	䖁
Ciz	㤒
Co	䡘
Cok	㕅
Cu	㉖
Cuz	冕
Cx	で
Cxp	㡗
D@	㜰
D@n	㍕
D@t	〥
D@ts	ぁ
DEm	㆕
DEn	あ
DIG	ゅ
DIs	ゑ
DR	ㅉ
DRz	䁵
DWt	㠄
DY	䝹
D^	。
De	㉠
Del	㤧
Der	じ
Derz	㄄
Di	䠣
Diz	㘅
Do	㙨
Doz	㈳
Dx	䥩
E	ㄐ
EJ	䤳
Ef	倥
Eg	㜈
Egz	䎗
Ek	㈉
Eks	㞖
El	㐃
Els	㥀
Em	䉷
En	䖔
End	㌙
Es	䑠
Est	剣
Ev	㥕
GR	䊂
I	㉈
IC	㕵
IG	と
IGk	䝱
IGz	剹
IS	䑙
Idz	ㄵ
If	㊉
Ig	䅵
Im	䒒
In	㄀
InC	䦖
Ins	䕑
Int	䎖
Is	䝃
It	ㄙ
Its	ㅱ
Iz	〓
J@	㥗
J@ks	䤥
JE	䅸
JEn	㝐
JEnt	偙
JI	䅷
JIG	䊗
JIS	㞁
JInt	㤇
JIs	㤨
JIz	㠵
JO	䘡
JOd	兕
JU	劙
JUl	㥅
JY	䎕
J^Gk	冔
J^m	䙢
J^mp	㑅
J^mps	䦉
J^st	〰
Ja	䊀
Jab	䅃
Janz	䤢
