@/Si	㘶㊀
@/hoI	㘶㢇
@/lI/ge/tR	㘶ち䅤ㄔ
@/lIg/z@n/dR	㘶䖐䖑㎓
@/lIks	㘶偃
@/lIn	㘶䝥
@/nI/mxl	㘶㘷㘸
@/nI/mxlz	㘶㘷䆆
@/pI/tYt	㘶㔱㍒
@/prI/kats	㘶ㅅ傆
@/pxl	㘶㜦
@/pxl/scs	㘶㜦㝱
@/pxlz	㘶㝨
@/skIG	㘶䔷
@G/gri	㎆㔷
@G/kxlz	㎆㆓
@d/vYs	儡儢
@f/tR	㉂ㄔ
@f/tR/nun	㉂ㄔ㉃
@k/Cu/x/li	㚉㉖べ㊄
@k/SIn	㚉㥁
@k/sI/dInt	㚉㊃䖖
@k/tIG	㚉〠
@k/tIv	㚉䍘
@kt	刈
@kts	剒
@l	䒂
@l/Ji	䒂㜴
@m	䍕
@n	㖘
@n/JE/lI/kx	㖘䅸ち㔧
@n/sR	㖘ㅓ
@n/sx/rIG	㖘㡇㙖
@n/tI/bY/a/tIk	㖘㚇㍆䀘䄖
@n/ti	㖘〄
@nd	ㄷ
@nt	䤠
@nts	䙰
@sk	䌴
@skt	䡩
@t	ひ
@z	㥐
C@/lIn/JIG	䝤䝥䊗
C@ns	䒖
C@t	刐
CE/kIG	㤖へ
CE/kWt	㤖㤗
CE/stR	㤖䀡
CEk	㕶
CEk/bUk	㕶㉄
CI/kIn	㔄㔅
CI/kInz	㔄㦄
CI/ki	㔄〴
CI/kiz	㔄㕑
CI/li	㔄㊄
CI/li/R	㔄㊄㑥
CIl	䁢
CIl/drIn	䁢䁣
CIm/ni	䅨㈕
CIm/p@n/zi	䅨㦘㑤
CImp	劗
CIn	㜗
CIp	䡵
CIps	㡠
CO/sIz	㢗㜁
CRp	䢒
CYmz	䘂
C^/bi	䅄゙
Capt	䢈
Cen/JIG	䊖䊗
Cen/JIz	䊖㠵
CenJ	㑄
CenJd	㑀
Cer	㒕
Ces	㙹
Cest	兘
Ci	㞓
Ci/Ciz	㞓㤒
Ci/ki	㞓〴
Ci/kiz	㞓㕑
Ci/ri/oz	㞓ㄢ候
Ci/to	㞓㙆
Ciks	䡸
Cip	䈸
Cir/fxl	䖁䁡
Ciz	㤒
Co/kIG	䡘へ
Cok	㕅
Cu	㉖
Cu/IG	㉖と
Cu/i	㉖〙
Cuz	冕
D@/txl	㜰ぢ
D@n	㍕
D@t	〥
D@ts	ぁ
DEm	㆕
DEm/sElvz	㆕䙦
DEn	あ
DIs	ゑ
DY	䝹
D^	。
De	㉠
Del	㤧
Der	じ
Der/xl	じ㝔
Derz	㄄
Di	䠣
Diz	㘅
Do	㙨
Doz	㈳
E/dx/bxl	ㄐ㢈㌆
E/fRt	ㄐ䖆
E/lx/fInt	ㄐ㘀䅰
E/lx/fInts	ㄐ㘀䐆
E/nR/Ji	ㄐ㈱㜴
E/nR/te/nIG	ㄐ㈱㌩ㆉ
E/nR/ten/mInt	ㄐ㈱冘䄶
E/ni	ㄐ㈕
E/ni/TIG	ㄐ㈕㈀
E/ni/b^/di	ㄐ㈕㒔㈷
E/ni/mor	ㄐ㈕㉀
E/ni/we	ㄐ㈕㉔
E/ni/wer	ㄐ㈕ㄒ
E/spE/Sx/li	ㄐ㍃㍄㊄
E/vR	ㄐ㉓
E/vri	ㄐㄑ
E/vri/TIG	ㄐㄑ㈀
E/vri/ba/di	ㄐㄑㄧ㈷
E/vri/w^n	ㄐㄑㆆ
E/vri/wer	ㄐㄑㄒ
EJ	䤳
Ef	倥
Eg	㜈
Eg/z@kt/li	㜈儕㊄
Eg/zIsts	㜈䐔
Eg/zcl/tId	㜈䞗㈑
Egz	䎗
Ek/sEpt	㈉㤡
Ek/sR/sY/zIG	㈉ㅓ㈐㑔
Ek/sR/sY/zIz	㈉ㅓ㈐䜠
Ek/sR/sc/sR	㈉ㅓ㐸ㅓ
Ek/sY/tIG	㈉㈐〠
Ek/sY/tId	㈉㈐㈑
Ek/splo/dId	㈉䝖〸
Ek/splo/rIG	㈉䝖㙖
Eks	㞖
Eks/kyus	㞖㞗
Eks/pEkt	㞖冂
Eks/pEn/sIv	㞖㢅㢆
Eks/pI/ri/Ins	㞖㔱ㄢ䕑
Eks/plor	㞖㢁
Eks/prEs	㞖㤩
El	㐃
El/bo	㐃䖓
El/mo	㐃ㆈ
Els	㥀
Em	䉷
Em/pti	䉷䉸
En	䖔
En/JO/IG	䖔䘡と
En/JOd	䖔兕
En/vx/lops	䖔㦇䥇
End	㌙
End/lI/sli	㌙ち㎙
Es	䑠
Es/kep	䑠䑡
Ev/ri/ba/diz	㥕ㄢㄧ㐒
I/CIG	㉈㕴
I/Ci	㉈㞓
I/gwa/nx	㉈䅶〖
I/ki	㉈〴
I/lx/stre/tId	㉈㘀兣㈑
I/m@/JI/ne/SIn	㉈㔦䅷䉥㥁
I/mI/tets	㉈㄁䜲
I/nIG	㉈ㆉ
I/n^f	㉈㑹
I/rI/te/tIG	㉈㕸㌩〠
I/txl	㉈ぢ
I/zInt	㉈㉉
IC	㕵
IG/glIS	と兴
IGk	䝱
If	㊉
Ig/no/rIG	䅵〘㙖
Ig/nor	䅵䐴
Im/pcr/txnt	䒒䙘䙙
Im/px/stR	䒒㔑䀡
In	㄀
In/CIG	㄀㕴
In/CIz	㄀㘳
In/dI/pEn/dInt	㄀㔡㢅䖖
In/di/In	㄀㈷㄀
In/dorz	㄀䁦
In/fEk/SIn	㄀匰㥁
In/pUt	㄀ぐ
In/sIst	㄀切
In/sYd	㄀㈓
In/stEd	㄀䌑
In/tEnt	㄀䑵
In/tR/nEt	㄀ㄔ冁
In/tu	㄀ら
In/tx/rE/stIG	㄀ㄱ㈶㠠
In/tx/rE/stId	㄀ㄱ㈶㘘
In/vEnt	㄀䔳
In/vI/zx/bxl	㄀㡘䜓㌆
InC/wRm	䦖䦗
It	ㄙ
Its	ㅱ
Iz	〓
Iz/re/lYt	〓㠀㖗
J@/kIt	㥗㖁
J@/miz	㥗ㄗ
J@ks	䤥
JE/li/fIS	䅸㊄㡙
JE/nI/sIs	䅸㘷䕄
JE/nx/re/SInz	䅸〖㠀㢃
JE/rx/mY/x	䅸㘩〲べ
JEn/txl	㝐ぢ
JEnt/li	偙㊄
JI/gx/lIG	䅷䁉㈨
JI/mi	䅷〈
JIG/gxlz	䊗䉅
JO	䘡
JU/lY	劙䆃
JY/Int	䎕䎖
J^Gk	冔
J^m/pIG	䙢㐀
J^m/pR	䙢㌴
J^mp	㑅
J^mps	䦉
J^st	〰
Ja/Su/x	䊀ぉべ
Ja/ni	䊀㈕
Jab	䅃
Janz	䤢
Jar	㝳
Jarz	䀃
Jc	䢃
Je	䝗
Je/kxb	䝗䠦
Je/kxbz	䝗䠧
Je/lxn	䝗䌂
Ji	㜴
Ji/ni	㜴㈕
Ji/nyxs	㜴匈
Ji/zxs	㜴䝡
Jiz	䑲
Jok	刅
Ju/IS	㤁䑙
Ju/nyR	㤁剳
Ju/sIz	㤁㜁
Jul/yx	匐䠄
Jus	ㄹ
Jx/mY/mx	㠸〲㡵
Jx/r@f	㠸䅲
OGk	㈣
Os/tR	䆐ㄔ
R/CInz	㑥䆙
R/li	㑥㊄
R/li/R	㑥㊄㑥
R/ni	㑥㈕
RT	䞀
RT/kwek	䞀䥡
Rnd	內
S@l	䜄
SE/pRd	剗剘
SEf	䥘
SElf	䢉
SIft	匧
SRt	㕦
SRts	㜃
SU/dxnt	㝦㌈
SU/dxv	㝦䄹
SU/gR	㝦㍔
SUd	㊘
SUk	儔
SUr	㞘
SY	䂀
SY/nIG	䂀ㆉ
SY/ni	䂀㈕
S^/vx/lIG	㦆㦇㈨
S^t	㚅
S^v	㔰
Sa/pIG	㢙㐀
Sakt	䡁
Sarp	䤲
Scrt	㙘
Se/kIG	䑩へ
Sedz	冑
Sek	㜱
Seks	䡗
Sem	䤨
Sep	㕰
Seps	㜑
Sept	䡔
Ser	䄐
Serd	倱
Si	㊀
Sil	䄳
Sil/dId	䄳〸
Sild	㠈
Sip	䁗
Sits	䉳
Siz	㆐
So	㉅
So/IG	㉅と
Sod	㔤
Sol/dR	䜡㎓
Sol/dRz	䜡䁲
Su	ぉ
Su/lIs	ぉ㠴
Su/le/sIz	ぉㅀ㜁
Su/tIG	ぉ〠
Sut	䘅
Suz	㞆
T@G/kyu	㌤㌥
T@Gk	䔤
T@Gks	䤒
TIG	㈀
TIG/kIG	㈀へ
TIGk	㔖
TIGks	㠣
TIGz	㔵
TIk	㔘
TIn	䌷
TR/ma/mx/tR	䚖ぅ㡵ㄔ
TR/ti	䚖〄
TR/tin	䚖䙧
TRd	䕨
TRs/ti	㈖〄
TRst	具
TW/zInd	則剈
T^m	㚀
Tcrn/bU/Sxz	䈰㊈䈱
Tct	䈔
Tr@/SR	䕒䕓
Tr@S	䕈
Tri	㈂
Tro	㕧
Tro/IG	㕧と
Trot	㐨
Troz	䘇
Tru	㙒
W	ど
W/R	ど㑥
W/Rz	ど㜨
WC	䉩
WE/rR	儸㄂
W^t/Cx	てで
Wl	䅅
Wn/sIz	䠒㜁
Wt	【
Wt/fIt	【㙑
Wt/lEt	【㌉
Wt/sYd	【㈓
Wt/tck	【㠆
Y	ㅷ
Y/di/x	ㅷ㈷べ
Y/si	ㅷゔ
Yd	䕶
Yl	㕠
Ym	ㄠ
Ys	㘈
Yv	䅓
Yz	䈲
^	〷
^/DR	〷ㅉ
^/DR/wYz	〷ㅉ䙡
^/h^	〷ㅕ
^/h^m	〷䠰
^/nyxn	〷㔔
^/o	〷】
^G/kxl	䌩ㅔ
^g/li	䜒㊄
^m	㘣
^n/dR	㎒㎓
^n/dR/arm	㎒㎓䔃
^n/dR/armz	㎒㎓䄂
^n/dR/niT	㎒㎓䒈
^n/dR/st@nd	㎒㎓㌦
^n/dR/wer	㎒㎓ㄒ
^n/d^n	㎒㝘
^n/du	㎒〗
^n/fri	㎒䂅
^n/ru/li	㎒䆂㊄
