&	ㅀ
&8	䑗
&8&l	㠙
&G&b	䜡
&Niz	䈤
&NizE	䙒
&NiziyE	㜧
&S	䍩
&b	㢈
&br	䖂
&bra	䖄
&d	䡕
&f	䁃
&gE	䎑
&h	㙇
&k	ㄆ
&ks	ㄓ
&l	㠆
&lan	䡵
&lekum	䄓
&m	〓
&ma	䢇
&mn	䔨
&n	ㅐ
&nkum	䒑
&nt	䅘
&r	㡐
&rz	䔇
&s	㆘
&s&n	䜢
&sb	㤤
&sl	䡇
&sr	㙧
&st	䁩
&t	㉤
&v&lES	䠕
&v&lin	䠖
&x	䐗
&z	、
8&	ㄷ
8&S	䒕
8&b	㐕
8&bl	㤑
8&d	㖓
8&dr	㉡
8&h	〔
8&hr	䡥
8&l	㞑
8&lb	䜧
8&lt	䌖
8&m	ㅶ
8&n	㚉
8&nd	㡙
8&r	㑅
8&r8	䝲
8&rib	䡹
8&ribi	䑩
8&rz	㜒
8&s	䈧
8&sd	䈨
8&sr	䙦
8&st	䅨
8&t	㍴
8&z	䆑
8&zayi	䙢
8E	㊁
8ES	㚗
8Eb	䈥
8El	㔕
8Er	㍣
8Ermizi	䝉
8Es	㝇
8Et	㚑
8a	ぃ
8aS	䡷
8ab	ㅅ
8abE	㤲
8ah	䥃
8al	㒄
8am	㙷
8ar	䁡
8arc	䁠
8at	㠴
8e	䆘
8eb	㡹
8er	䈒
8i	㌶
8i8	䐕
8il	㝆
8ir	䚕
8it	䡅
8o	㖀
8od	㕹
8ofl	䝱
8ol	㠓
8om	䝔
8on	䄙
8or	よ
8orbunEt	䁄
8ors	䚂
8ot	䐠
8u	㖒
8u8	䔖
8ul	䄃
8un	㉱
8ur	㊀
8urt	㥙
E	【
EG	㝐
ES	㑃
ES8	䠢
Eb	㑩
Ec	㚈
Ef	㕓
Eh	㜇
Eks	䎃
El	㕗
Elm	䕖
Em	㈉
En	㉠
Er	㝰
Es	㈸
Eskul	䥈
Esm	䀗
EstESEn	㠹
Et	䡘
Ez	䎈
G&	㆗
G&N	䘨
G&S	㦑
G&Sn	䖇
G&b	㤰
G&d	㡳
G&k	㖇
G&lb	䍅
G&m	㍈
G&n	㙳
G&ng&l	䝑
G&st	䡒
G&t	䜔
GE	㌲
GES	㔶
GEbEto	䝨
GEd	䙤
GEl	䘴
GEld	䎗
GEm	䑐
GEn	䉱
GEns	䌨
GEr	㜡
GEst	䍆
GEt	㔐
Ga	〉
Ga8	䐨
GaS	㊂
Gab	䝠
Gad	䑠
Gam	䀈
Gan	㍅
GanE	䝧
GangulE	䔷
Gast	㉵
Gat	㠀
Ge	㕕
Gens	䙷
Gi	㌆
Gi8	㦇
GiS	㔖
GiSk	䀓
Gib	䉄
Gid	䦓
Gih	䜠
Gik	䤃
Gil	䡱
Gim	㠶
Gin	㡃
Gip	䝈
Gir	㎉
Git	䢔
Go	㒗
Gob	䀷
Gok	䘓
Gom	䐃
GorG	䍣
Gos	䉆
Goz	䐘
Gu	㄀
GuS	䌐
Gub	䠓
Gud	䑃
Gun	ㄔ
Gur	㥓
Guri	㡗
LEn	䠙
M	ㄨ
N&n	㜔
NE	㙗
NES	㠢
NEz	䌩
Na	䐰
Nal	㠲
Ni	䐈
Nim	䌡
No	䈃
Nu	䜖
Nul	䌆
RES	䔆
S	㦘
S&	㍸
S&N	ㄸ
S&S	ㅥ
S&b	㎂
S&d	䘃
S&h	㖗
S&hr	䉗
S&hriv&rE	䠠
S&k	㜨
S&l	㦗
S&m	㆑
S&n	む
S&ng	㐂
S&r	䈐
S&rG	㝥
S&ro	䂗
S&rt	䠹
S&s	㔃
S&st	㖃
S&t	㝸
S&xs	䦐
S&z	䕁
SE	ㅠ
SE8	䀀
SES	㎀
SEk	㆓
SEm	䎆
SEn	㜄
SEr	㎒
SErt	㢂
SEs	㘸
SEst	䑵
SEt	㕁
SIN	䅰
Sa	〨
SaS	㚙
Sad	㕴
Sah	䍰
Sal	㙩
Sam	㙲
San	㞙
Sans	䜉
Sar	㜐
Sat	㥘
Sax	㑤
Saz	㡂
Se	㘷
SeE	䑖
Si	げ
SiS	㈒
Sid	ざ
Sim	㕥
Sin	゙
Sir	㊃
Sit	䉒
Sk	䘵
So	〈
So8	㑥
SoS	䤶
Sod	㈵
SodE	䝆
Sok	㘩
Sokr	䄥
Sol	䎀
Sor	㥰
Sort	䁘
Sos	㐦
Sost	䤵
Soud	䦒
Su	㐤
Sui	㘥
SuiyE	䄳
Suiya	䎔
Sun	㆒
Sunz	㡉
Sur	䂇
Sut	䁁
Un	㜁
ZE	䄵
ZEn	㚘
Zan	㥤
a	〧
aS	㒈
ab	ㅩ
ad	ㅴ
af	㙶
af&rin	䞖
ag&	䀙
ag&r	䅧
ah	㤠
ah&n	䐥
ahan	䑲
ak	䐉
al	䒂
al&mE	㦉
am	䊃
an	䉂
ankum	䠐
ar	㕘
arE	㈧
ard	䅅
arm	䕘
as	㐳
ast	䆂
at	㥔
atr	䍒
axE	䢁
axe	䉢
ay	㎈
aym	䕦
ayn	㥈
ays	倈
b	㕒
b&	〡
b&N	䡑
b&S	㤀
b&b	㌸
b&d	㄂
b&dES	㕇
b&h	㑀
b&hs	䉶
b&l	㝣
b&la	䖁
b&laE	䙅
b&layi	䖈
b&le	㤹
b&m	㙢
b&n	㕲
b&nd	㍆
b&r	㈤
b&r8	䁅
b&rdarE	䝅
b&rf	䙓
b&rfiS	䕂
b&rfiyE	䡄
b&rg	䒓
b&rg&rdunE	䈹
b&s	㐐
b&st	㙖
b&st&niyE	䞙
b&t	㡩
b&x	㊙
b&xS	䕳
b&xt	㜸
b&z	䢙
bE	】
bES	㌕
bEbin	䉩
bEbin&m	㠨
bEf	㤃
bEf&rmayid	䙡
bEg	䈢
bEh	㈢
bEht	䤄
bEht&rE	䔵
bEl	㠂
bEn	㑙
bEr	䔐
bErt	䦇
bEs	㎕
bEt	㐥
bEtuim	䅐
bExer	䘔
bEyE	䜀
ba	〱
ba8	㖘
ba8t	䤔
baS	㐓
baSE	䜓
bab	㤥
baba	䑅
bad	㑉
baf	䄖
bagz	㠠
bah	㢖
bak	䅂
bal	㠗
bam	㝠
ban	䁕
bani	㠦
bar	䂕
bart	䦘
barz	倀
bas	㠥
bast	㦓
bat	㐡
bax	䆓
bay	㝧
bayl	㤳
baz	㐉
bazi	䄦
be	ㅲ
ben	㝀
bi	ち
biN	䑁
biS	㙴
biar	㢇
bid	㘤
bil	㢔
bim	䀣
bin	぀
bir	䄩
bird	䦈
bis	㒓
bist	㍳
bit	䄧
biya	㥵
biyar	䐹
bo	ぶ
boS	ㅄ
bod	㠡
bok	䤁
bol	㔷
bol&nd	䠄
bom	䥘
bomb	㜦
bon	䍙
bor	㐁
borG	䠂
bord	㈳
bot	䙂
boxor	䌶
boy	䤨
boz	㡘
br&	䅩
bra	䦙
bros	䤩
brus	䥆
bt	䢘
