1	゗
1c	䀷
1n	も
1ns	ゃ
1s	㙣
2	㌨
2c	㥀
2s	䁅
3	ざ
3f	ㄩ
3fs	䍤
3s	㉠
3ss	䔵
3x	㉢
@	ㅧ
@s	㕐
A	〦
Ad	䍔
Af	䅠
Ak	㐀
Al	㐗
Als	䁷
Alt	ㄈ
Am	㈴
An	〄
Anc	䕶
Ancst	䎓
Ans	䎆
Ant	㑄
Ap	㙂
Ar	㊃
Arm	䄃
Art	㜦
Axt	䘇
C@	䔳
CA	㈧
CLn	㤥
CYs	㑙
ChIC	㙄
ChR	㊒
Chim	䔧
E	ㄵ
Eks	䌲
El	㜀
En	㊖
Enc	㠖
Ent	㈉
Er	㌇
Erd	㜷
Es	ㄧ
Et	㍤
I	ㅣ
IS	㜨
Ic	〥
Im	㊁
In	㄃
Ins	㐓
Ir	㐇
Is	䉧
Ist	べ
J@	䅈
JI	㜃
Ju	㑉
L	䀧
Ln	䆁
M	㦁
N	じ
Ns	䒈
O	㌦
Oft	㖇
Ok	㈸
Op	㒒
Opst	䁑
Or	䀳
Ord	䊄
Os	㜇
Ox	䒖
P1	㝉
P1ft	䑙
P3	䙦
P@	㠧
PI	㚃
PIc	㚂
PL	㘕
PN	㠂
PR	䖓
Per	㌹
Pert	㊈
Pl3	䍠
PlA	䕥
PlY	䙠
PlYkt	ㄗ
R	と
Rn	㤕
Rst	㡩
Rt	䅲
S1nt	䈄
S2	䒘
S2s	䌰
S3	ど
S3n	ㅇ
S3t	㊗
S@	゙
S@s	䅢
SAT	㈥
SAf	䀁
SAr	㘥
SArf	䖃
SAx	ㄓ
SE	㑶
SET	䔶
SEn	㝔
SEnk	㑕
SEnkst	䐖
SEnkt	䉳
SI	䄐
SIc	㡵
SIf	㤣
SIk	䈤
SIkt	㦙
SIlt	㢗
SImPst	ㅨ
SImPt	䙵
SIr	䘸
SLn	䙁
SN	ㄅ
SO	䊔
SOs	䍖
SU	㉩
SUp	㔹
SUpst	䁲
SY	㎖
SYr	㡙
Sa	㜣
Saf	㖔
Sar	䎗
Se	䍥
Sef	䘣
Si	㢉
Sif	㕡
Sipt	ㆆ
Sir	㙆
Sit	㜢
Sl1	䕷
Sl2	㖅
SlA	㤦
SlAn	䁁
SlEc	䍙
SlEct	䀈
SlI	䅧
SlIm	䔆
SlIngt	䌇
SlUkst	㙔
SlUs	䀗
SlYs	䄄
Sla	ㆀ
Slaf	㐱
Slef	㘔
Slefst	㥁
Sleft	㌢
Slis	㑅
Slus	䐥
Sm1	ㆈ
Sm1s	㈡
Sm1st	䍗
SmA	㡹
SmE	㝇
SmEkt	䉙
SmIs	㚘
SmU	䄧
SmUk	䄀
Smi	䊘
Smir	䉄
Smirn	䒕
Smirs	䎅
Smirst	䈷
Smirt	㡦
Smu	㉨
Sn1	䎁
Sn1t	䈳
SnA	䄖
SnAps	䁦
SnE	㡅
SnEl	㝴
SnI	䀡
SnQ	〸
SnU	㈇
Sna	䁀
Sne	䅖
So	䌘
Son	〒
SpA	䐆
SpAn	䐔
SpI	䄂
SpIT	㍱
SpU	䘀
Spe	䄰
Spert	䎕
Spi	㤩
Spil	つ
Spilt	ち
SprE	㜸
SprI	䔒
SprIT	䒂
SprITt	䈣
SprIn	䂒
SprIngt	䁡
SprOx	䕴
SprUn	䅅
Spu	㈲
Sq	㦉
Sqn	㈦
Sr1	㘂
Sr1b	㡒
Sr3	㢑
SrAk	䘃
SrAnk	㐘
SrE	䕢
SrEk	䌦
SrI	䐡
SrIf	䐂
Sri	䅂
St1	㔃
St1c	䂆
St1gt	䂇
St1n	䍘
St3p	㥸
St3t	㉴
St@	䅣
StAnt	䍲
StArk	㒈
StAt	䔡
StE	㘒
StEk	っ
StEkt	㡠
StEl	㠒
StElst	䕀
StElt	〰
StEn	䊃
StIct	䕲
StIf	㢂
StIft	㊉
StImt	㌴
StInk	䄈
StInkt	㡆
StN	䔂
StOf	㕓
StOr	䘳
StOrc	䁂
StOx	䑃
StUs	䐧
StYk	䈶
Stap	䒐
Ste	㎑
Ster	㐣
Stest	、
Stet	ぅ
Sti	㔓
Stqr	䘧
Stqst	䍵
Str1	㝥
StrAs	䅘
StrEn	ㅂ
StrI	㍲
StrIk	㍨
StrUmP	㠆
StrYm	㠦
Stul	㎂
Sty	㚈
