1	゗
1c	䀸
1n	も
1ns	ゃ
1s	㙤
2	㌨
2c	㥁
2s	䁆
3	ざ
3f	ㄩ
3fs	䍦
3s	㉠
3ss	䔷
3x	㉢
@	ㅧ
@s	㕐
A	〦
Ad	䍖
Af	䅢
Ak	㐀
Al	㐗
Als	䁹
Alt	ㄈ
Am	㈴
An	〄
Anc	䕸
Ancst	䎕
Ans	䎈
Ant	㑅
Ap	㙃
Ar	㊃
Arm	䄅
Art	㜧
Axt	䘐
C@	䔵
CA	㈧
CLn	㤦
CYs	㑠
ChIC	㙅
ChR	㊒
Chim	䔩
E	ㄵ
Eks	䌴
El	㜁
En	㊖
Enc	㠖
Ent	㈉
Er	㌇
Erd	㜸
Es	ㄧ
Et	㍤
I	ㅣ
IS	㜩
Ic	〥
Im	㊁
In	㄃
Ins	㐓
Ir	㐇
Is	䉩
Ist	べ
J@	䅐
JEnt	䀵
JI	㜄
Ju	㑐
L	䀨
Ln	䆃
M	㦂
N	じ
Ns	䒐
O	㌦
Oft	㖇
Ok	㈸
Op	㒓
Opst	䁒
Or	䀴
Ord	䊆
Os	㜈
Ox	䒘
P1	㝐
P1ft	䑡
P3	䙰
P@	㠨
PI	㚄
PIc	㚃
PL	㘖
PN	㠃
PR	䖖
Per	㌹
Pert	㊈
Pl3	䍢
PlA	䕧
PlY	䙤
PlYkt	ㄗ
R	と
Rn	㤖
Rst	㡰
Rt	䅴
S1nt	䈆
S2	䔀
S2s	䌲
S3	ど
S3n	ㅇ
S3t	㊗
S@	゙
S@s	䅤
SAT	㈥
SAf	䀂
SAr	㘦
SArf	䖅
SAx	ㄓ
SE	㑷
SET	䔸
SEn	㝕
SEnk	㑖
SEnkst	䐘
SEnkt	䉵
SI	䄒
SIc	㡶
SIf	㤤
SIk	䈦
SIkt	䀀
SIlt	㢘
SImPst	ㅨ
SImPt	䙹
SIr	䙁
SLn	䙅
SN	ㄅ
SO	䊖
SOs	䍘
SU	㉩
SUp	㔹
SUpst	䁴
SY	㎖
SYr	㡠
Sa	㜤
Saf	㖕
Sar	䎙
Se	䍧
Sef	䘦
Si	㢐
Sif	㕡
Sipt	ㆆ
Sir	㙇
Sit	㜣
Sl1	䕹
Sl2	㖅
SlA	㤧
SlAn	䁂
SlEc	䍡
SlEct	䀉
SlI	䅩
SlIm	䔈
SlIngt	䌉
SlUkst	㙕
SlUs	䀘
SlYs	䄆
Sla	ㆀ
Slaf	㐲
Slef	㘕
Slefst	㥂
Sleft	㌢
Slis	㑆
Slus	䐧
Sm1	ㆈ
Sm1s	㈡
Sm1st	䍙
SmA	㢀
SmE	㝈
SmEkt	䉡
SmIs	㚙
SmU	䄩
SmUk	䄂
Smi	䌀
Smir	䉆
Smirn	䒗
Smirs	䎇
Smirst	䈹
Smirt	㡧
Smu	㉨
Sn1	䎃
Sn1t	䈵
SnA	䄘
SnAps	䁧
SnE	㡆
SnEl	㝵
SnI	䀢
SnQ	〸
SnU	㈇
Sna	䁁
Sne	䅘
So	䌠
Son	〒
SpA	䐈
SpAn	䐖
SpI	䄄
SpIT	㍱
SpU	䘃
Spe	䄲
Spert	䎗
Spi	㤰
Spil	つ
Spilt	ち
SprE	㜹
SprI	䔔
SprIT	䒄
SprITt	䈥
SprIn	䂔
SprIngt	䁢
SprOx	䕶
SprUn	䅇
Spu	㈲
Sq	㦐
Sqn	㈦
Sr1	㘃
Sr1b	㡓
Sr3	㢒
SrAk	䘆
SrAnk	㐘
SrE	䕤
SrEk	䌨
SrI	䐣
SrIf	䐄
Sri	䅄
St1	㔄
St1c	䂈
St1gt	䂉
St1n	䍠
