1	゗
1/R	゗と
1/R/lQ/fL	゗と㡵㎆
1/Rn	゗㤖
1/S@	゗゙
1/gN/@s	゗㌤㕐
1/gN/Saf/tN	゗㌤㖕㈷
1/gNt/lIc	゗ㅃ㔁
1/mR	゗ㅐ
1/n@	゗ご
1/nI/g@	゗㜖〩
1/nM	゗ん
1/nN	゗ㆃ
1/nOrd/nN	゗㖀ㆃ
1/nR	゗ㄡ
1/nord/nUnc	゗䁕㖂
1/zen/ba/nN	゗㔱㙸ㆃ
1/zen/ban	゗㔱㉉
1c/hQrn/cN	䀸䀹぀
1n	も
1n/Smi/rN	も䌀㐐
1n/St1/gN	も㔄㌤
1n/StE/kN	も㘓ㅀ
1n/TEl/n@	も㕃ご
1n/TEl/nN	も㕃ㆃ
1n/TI/g@	も㐳〩
1n/d2/tIc	も㐢よ
1n/druk	も㎘
1n/fAx	も㈠
1n/g@/Spert	も〩䎗
1n/g@/TvIkt	も〩㞐
1n/g@/rIs/N	も〩㎉じ
1n/g@/vI/kLt	も〩㑁㘤
1n/ganc	も䐥
1n/k3/fN	も䅦ㆁ
1n/k3fs/va/gN	も䑠㙠㌤
1n/mAl	も〣
1n/zAT	も䉑
1ns	ゃ
1s	㙤
1s/SrAnk	㙤㐘
1s/ba/R	㙤㙸と
1s/mAn	㙤㈢
2	㌨
2/l@	㌨ば
2c	㥁
2s/E/rUnc	䁆ㄵ㘂
3/Ti/N	ざ㈀じ
3/fEs/N	ざしじ
3/fN	ざㆁ
3/for/de/rUnc	ざ㘀㘁㘂
3/fr2/mN	ざ䔱ㅦ
3/fr2m	ざ䆔
3/g@	ざ〩
3/gN	ざ㌤
3/to	ざ㈹
3/tos	ざ㠑
3f	ㄩ
3f/Sla/gN	ㄩㆀ㌤
3f/Ste/N	ㄩ㎑じ
3f/Tu/fOr/dRn	ㄩㄸ㈖㔥
3f/frEs/N	ㄩ䄖じ
3f/g@/frEs/N	ㄩ〩䄖じ
3f/g@/gEs/N	ㄩ〩㕷じ
3f/g@/nO/mN	ㄩ〩㌆ㅦ
3f/g@/vAxt	ㄩ〩䂅
3f/ge/bN	ㄩ㐡㊀
3f/he/bN	ㄩ㞙㊀
3f/hq/rN	ㄩ㝳㐐
3f/mAx/N	ㄩゕじ
3f/mY/PI/gR	ㄩ㚂㚄㈙
3f/mY/PIc	ㄩ㚂㚃
3f/na/m@	ㄩㅥㆅ
3f/na/mN	ㄩㅥㅦ
3f/ne/mN	ㄩㆄㅦ
3f/pAs/N	ㄩ㌵じ
3f/st1/gN	ㄩ䘘㌤
3fs	䍦
3s	㉠
3s/1/nAn/dR	㉠゗㉡〔
3s/1/nAn/dR/mAx/N	㉠゗㉡〔ゕじ
3s/R	㉠と
3s/R/dem	㉠と〵
3s/Ti/N	㉠㈀じ
3s/Tin	㉠㠗
3s/b2/t@	㉠㢄ㄳ
3s/dry/k@	㉠㚕ぷ
3s/g@/To/gN	㉠〩㊂㌤
3s/g@/trUn/kN	㉠〩䑁ㅀ
3s/g@/zuxt	㉠〩ㄱ
3s/krA/TN	㉠䌑〗
3s/mAx/N	㉠ゕじ
3s/ran/gi/rN	㉠䙥䙦㐐
3ss/Or/ti/rN	䔷䀴㌧㐐
3x	㉢
A/PL	〦㘖
A/a/mis	〦ㅵ㕔
A/f@	〦ㅴ
A/fN	〦ㆁ
A/l1/n@	〦㑶ご
A/l1n	〦㤩
A/l@	〦ば
A/l@s	〦〧
A/lEx	〦䁳
A/lM	〦㕁
A/lR/dIngs	〦㈈㚔
A/li/zi/A	〦㈩い〦
A/nR	〦ㄡ
A/nhAl/tEst	〦䙈㡤
A/nhAl/tN	〦䙈㈷
A/nhAst	〦䄉
A/pA/rAt	〦ㄹ㠁
A/plE/kN	〦䌤ㅀ
A/pr1s/N	〦䎘じ
A/prIl	〦䘵
A/tA/ki/rN	〦㙁㥴㐐
Ad/jEk/ti/fN	䍖㔧㌧ㆁ
Af/ga/nI/S@s	䅢䅣㜖䅤
Al/Tu	㐗ㄸ
Al/t@	㐗ㄳ
Al/tR	㐗ㄑ
Al/zo	㐗げ
Als	䁹
Alt	ㄈ
Am	㈴
An	〄
An/S3n	〄ㅇ
An/SprI/TN	〄䔔〗
An/StEn/dIc	〄䊅㍴
An/StrEn/gNt	〄ㅂㅃ
An/Ti/N	〄㈀じ
An/Ti/zAx/N	〄㈀㔨じ
An/Tuc	〄㉘
An/dR	〄〔
An/dR/@	〄〔ㅧ
An/dR/@s	〄〔㕐
An/dR/N	〄〔じ
An/dRn	〄㔥
An/dRs	〄䅓
An/dRs/rum	〄䅓㤵
An/dU/kN	〄㡷ㅀ
An/drR/@	〄䅑ㅧ
An/fAs/N	〄㥑じ
An/g@/S3t	〄〩㊗
An/g@/To/gN	〄〩㊂㌤
An/g@/fAn/gN	〄〩㉹㌤
An/g@/fa/rN	〄〩㉔㐐
An/g@/gUkt	〄〩㊐
An/g@/l3/fN	〄〩㘑ㆁ
An/g@/nem	〄〩㆐
An/gU/kN	〄㊓ㅀ
An/ge/blIc	〄㐡㕢
An/mAx/N	〄ゕじ
An/mAxt	〄ㅖ
An/ma/lN	〄㈤び
An/ru/fN	〄㔲ㆁ
An/zOn/stN	〄㕉㑵
Ancst	䎕
Ans	䎈
Ant/vOr/tN	㑅㐣㈷
Ap	㙃
Ap/Sn1/dN	㙃䎃㍓
Ap/Str1/fN	㙃㝦ㆁ
Ap/Ti/N	㙃㈀じ
Ap/Tu/mAx/N	㙃ㄸゕじ
Ap/Tu/vI/SN	㙃ㄸ㑁ㄅ
Ap/b1s/N	㙃㍗じ
Ap/g@/S3t	㙃〩㊗
Ap/g@/SnI/tN	㙃〩䀢㈷
Ap/g@/brox/N	㙃〩䐅じ
Ap/g@/golt	㙃〩䎄
Ap/g@/mAxt	㙃〩ㅖ
Ap/g@/vA/SN	㙃〩ㄲㄅ
Ap/ho/lN	㙃㉲び
Ap/mAx/N	㙃ゕじ
Ap/pu/TN	㙃㞀〗
Ap/vA/SN	㙃ㄲㄅ
Ap/vEk/zLnt	㙃䄴䄵
Ap/vI/SN	㙃㑁ㄅ
Ar/m@	㊃ㆅ
Ar/mR	㊃ㅐ
Arm	䄅
Arm/r1f	䄅㙉
Art	㜧
Axt	䘐
CA/ro/lA	㈧㈨㝠
CA/ro/li/n@	㈧㈨㈩ご
CA/ro/li/n@s	㈧㈨㈩㑔
CYs	㑠
ChIC	㙅
Chim/ze	䔩㉐
E	ㄵ
E/PL	ㄵ㘖
E/gyp/tR	ㄵ䉸ㄑ
E/k@	ㄵぷ
E/kIc	ㄵ㦑
E/klI/g@s	ㄵ䕇䅔
E/lE/fAn/tN	ㄵㅈ㉹㈷
E/lE/fAnt	ㄵㅈㅉ
E/r1g/nIs	ㄵ㕑㕒
E/rI/kA	ㄵ㜢㌱
Eks/trA	䌴䌵
En/TYn/d@t	㊖䔑㒆
En/d@	㊖ㅡ
En/gLn	㊖㝥
En/t@	㊖ㄳ
En/tN	㊖㈷
Enc	㠖
Ent/SprE/cNt	㈉㜹㝀
Ent/cN	㈉぀
Ent/lIc	㈉㔁
Ent/ve/dR	㈉ら〔
Er/d@	㌇ㅡ
Er/folc	㌇㌈
Erd/be/r@	㜸㕩㈆
Erd/be/rN	㜸㕩㐐
Es	ㄧ
Es/N	ㄧじ
Et/vAs	㍤ゐ
I/mI/tirt	ㅣ㉦㕤
I/mR	ㅣㅐ
I/mR/Tu	ㅣㅐㄸ
I/n1/nAn/dR	ㅣ㑹㉡〔
I/nN	ㅣㆃ
I/nR	ㅣㄡ
I/r@	ㅣ㈆
I/r@s	ㅣ㦖
Ic	〥
Im	㊁
In	㄃
In/TvI/SN	㄃㄄ㄅ
In/tE/rEs/An/t@s	㄃㤸䉀〄䈡
In/tE/rEs/Ant	㄃㤸䉀㑅
Ins	㐓
Ir/gEn/tEt/vAs	㐇㐵㐶ゐ
Ir/gEnd/vAs	㐇㔣ゐ
Ir/gEnt	㐇㐈
Ir/gEnt/vEl/c@	㐇㐈㒇㊙
Ir/gEnt/vEl/cN	㐇㐈㒇぀
Ir/gEnt/vi	㐇㐈〓
Ir/gEnt/vo	㐇㐈㈰
Ir/zI/nI/gR	㐇㑄㜖㈙
Ir/zI/nIc	㐇㑄㜓
Is	䉩
Is/@s	䉩㕐
Ist	べ
JEnt	䀵
JI/JI	㜄㜄
JI/ra/f@	㜄䀰ㅴ
Ju/ri	㑐㍣
N	じ
O/fN	㌦ㆁ
O/lym/pi/a/myn/T@	㌦䅸㠥ㅵ䅹㌲
O/rN	㌦㐐
O/to	㌦㈹
Oft	㖇
Ok/to/bR	㈸㈹ㅶ
Op	㒓
Op/jEk/t@	㒓㔧ㄳ
Op/jEk/tN	㒓㔧㈷
Op/jEkt	㒓㒔
Op/jekt/na/mN	㒓㖖ㅥㅦ
Op/vol	㒓䄔
Opst	䁒
Or	䀴
Ord/nUnc	䊆㖂
Ox	䒘
P1/f@	㝐ㅴ
P1ft	䑡
P3	䙰
Per/d@	㌹ㅡ
Per/dN	㌹㍓
Pert	㊈
Pert/cN	㊈぀
Pl3/m@	䍢ㆅ
Pl3/mN	䍢ㅦ
Pl3/mN/St1n	䍢ㅦ䍠
Pl3/mN/st1n	䍢ㅦ䍰
PlA/stR	䕧㑲
PlY/kN	䙤ㅀ
S1nt	䈆
S2/nN/tor	䔀ㆃ䔁
S2s/lIc	䌲㔁
S3	ど
S3/N	どじ
S3/fL	ど㎆
S3/fLn	ど㝇
S3/kL	どㄥ
S3/kL/Pert	どㄥ㊈
S3/kLt	ど㘤
S3t	㊗
SAT	㈥
SAr/lO/t@	㘦㐨ㄳ
SArf	䖅
SAx/tL	ㄓㄔ
SET/cN	䔸぀
SEn/kN	㝕ㅀ
SEnk	㑖
SEnkst	䐘
SI/f@	䄒ㅴ
SI/kN	䄒ㅀ
SIf	㤤
SIf/cN	㤤぀
SIk	䈦
SIkt	䀀
SIlt/krq/t@	㢘㢙ㄳ
SIlt/krq/tN	㢘㢙㈷
SImPst	ㅨ
SIr/m@	䙁ㆅ
SO/li	䊖㈩
SOs	䍘
SU/bRn	㉩䑒
SU/pla/d@	㉩㉰ㅡ
SUp	㔹
SUp/zN	㔹㄂
SUpst	䁴
SY/tLst	㎖㑗
