Akichan,a1/ki0/can1
Baachan,bA1/can1
Baritanku,ba1/ri0/tan1/ku0
Butasan,bu1/ta0/san1
Chaachaan,cA1/cAn1
Chaachan,cA1/can1
Daichaan,dai1/can1
Daikun,dai1/kun1
Daikuun,dai1/kun1
Erikachan,e1/ri0/ka0/can1
Erikazoosan,e1/ri0/ka0 zO1/san1
Erkachan,e1/ri0/ka0/can1
Fado,ha0/do1
Hattori,hat1/to0/ri0
Iku,I1/ku0
Iyadamonkun,i0/ya1 da1/mon0/kun1
Jejamarukun,Ge1/Ga0 ma1/ru0/kun1
Jiichan,GI1/can1
Jun,Gun1
Junkun,Gun1/kun1
Junkuun,Gun1/kun1
Kaachan,kA1/can1
Kakka,kak1/ka0
Kakkatte,kak0/kat1/te0
Keechan,kE1/can1
Keegokun,kE1/go0/kun1
Kenchan,ken1/can1
Koro,ko1/ro0
Kumasan,ku1/ma0/san1
Kuraun,ku0/ra1/un0
Kuupaa,kU1/pA0
Kuupaa_ÅıÅg,kU1/pA0
Kyooko,kyO1/ko0
Mama,ma1/ma0
Mido,mi1/do0
Mike,mi1/ke0
Minnii,min1/nI0
Minniichan,min1/nI0/can1
Mitake,mi0/ta1/ke0
N,n1
Nchan,ni1/can1
Neechan,nE1/can1
Niichan,nI1/can1
Ninomiyasensee,ni1/no0/mi1/ya0/sen1/sE0
Nontan,non1/tan0
Obaachan,o0/bA1/can1
Obaasan,o0/bA1/san1
Ojiichan,o0/GI1/can1
Okaa,o0/kA1
Okaasaan,o0/kA1/sAn1
Okaasan,o0/kA1/san1
Oneechan,o0/nE1/can1
Oniichaan,o0/nI1/cAn1
Oniichan,o0/nI1/can1
Otoosan,o0/tO1/san1
Otooshan,o0/tO1/san1
Papa,pa1/pa0
Papa_ÅıÅg,pa1/pa0
Piichan,pI1/can1
Pororikun,po1/ro0/ri1/kun1
Raichoogoo,rai1/cO0/gO1
Reshi,re1/Si0
Ryookun,ryO1/kun1
Saechan,sa1/e0/can1
Sanzoohooshi,san1/zO0/hO1/Si0
Sensee,sen1/sE0
Shinchan,Sin1/can1
Shirokun,Si1/ro0/kun1
Shoochan,So1/can1
Sorao,so1/ra0 o1
Suu,sU1
Suuchan,sU1/can1
Taishoo,tai1/SO0
Taishoochin,tai1/SO0/cin1
Taishookun,tai1/So0/kun1
Taishooojiisan,tai1/SO0/GI1/san1
Toosaan,tO1/sAn1
Toosan,tO1/san1
Totto,tot1/to0
Yatchaan,yat1/cAn1
Ysatchan,yat1/can1
a,a1
aJunkun,Gun1/kun1
aTaishoo,tai1/SO0
a__i,
aa,A1
aaa,A1/a0
aabuu,A0/bU1
aachan,A1/can1
aae,A1/e0
aagomen,go0/men1
aai,A1/i0
aaii,A1//I0
aamamama,ma1/ma1/ma1
aamotte,mot1/te0
aan,An1
aapaa,A1/pA0
aaqa,A1/a0
aare,A1/re0
aarigatoo,a0/ri1/ga0/tO1
aata,A1/ta0
aato,A1/to0
aatoo,A1/tO0
aauu,A0/U1
aaya,A1/ya0
aayuute,A1 yU1/te0
abababababa,a0/ba1/ba0/ba0 ba0/ba1
abikkuri,bik1/ku0/ri1
abo,a1/bo0
abu,a1/bu0
abunai,a1/bu0/nai1
abuu,a0/bU1
achiachi,a1/ci0 a1/ci0
achichi,a1/ci0/ci0
