!	!
#	#
$Bito	$/Bi/to
$Gan	$/Gan
$N	$N
$le	$/le
%	%
*	*
+	+
+G+G	+/G+G
+c	+c
-	-
3	3
3G-	3/G-
3Ga	3/Ga
@	@
B#n	B#n
B#ndo	B#/ndo
B#ne	B#/ne
B#nes	B#/nes
B#ntale	B#/nta/le
B#ntamela	B#/nta/me/la
B#ntaselaa	B#/nta/se/la/a
B$lita	B$/li/ta
B$lta	B$l/ta
B$ltaa	B$l/ta/a
B$no	B$/no
B*	B*
B+	B+
B-la	B-/la
B-lando	B-/la/ndo
B-lar	B-/lar
B3	B3
Ba	Ba
Baa	Ba/a
Baer	Ba/er
Baja	Ba/ja
Bajaa	Ba/ja/a
Bajan	Ba/jan
Bajas	Ba/jas
Bak-	Ba/k-
Baka	Ba/ka
Bakaa	Ba/ka/a
Bakas	Ba/kas
Bakit+	Ba/ki/t+
Bakita	Ba/ki/ta
Bakitaa	Ba/ki/ta/a
Bamonos	Ba/mo/nos
Bamos	Ba/mos
Bamosa	Ba/mo/sa
Ban	Ban
BarBariDaD	Bar/Ba/ri/DaD
Barko	Bar/ko
Barku	Bar/ku
Bas	Bas
Baxamos	Ba/xa/mos
Baxo	Ba/xo
Be	Be
Be.Bes.	Be./Bes.
BeB*	Be/B*
BeBe	Be/Be
BeBee	Be/Be/e
Bea	Be/a
Bee	Be/e
Bemos	Be/mos
Ben	Ben
Bente	Be/nte
Ber	Ber
BerDaD	Ber/DaD
Berlo	Ber/lo
Berlos	Ber/los
Bern	Bern
Berte	Ber/te
Bes	Bes
Besit3	Be/si/t3
Besito	Be/si/to
Besitos	Be/si/tos
Beso	Be/so
BestiDo	Be/sti/Do
Besu	Be/su
Bete	Be/te
Beti	Be/ti
Beto	Be/to
Bi+	Bi/+
BiBe	Bi/Be
BiBeron	Bi/Be/ron
BiBi	Bi/Bi
Bin#ron	Bi/n#/ron
Bino	Bi/no
Bisi	Bi/si
Bisitar	Bi/si/tar
Bisitarte	Bi/si/tar/te
Biste	Bi/ste
Bistee	Bi/ste/e
Bisto	Bi/sto
BlaNka	BlaN/ka
Blale	Bla/le
Bloke	Blo/ke
Blokee	Blo/ke/e
Boka	Bo/ka
Bolsa	Bol/sa
Bolsita	Bol/si/ta
Bolteamos	Bol/te/a/mos
Bonit+	Bo/ni/t+
Bonit-	Bo/ni/t-
Bonita	Bo/ni/ta
Bonitas	Bo/ni/tas
Bonito	Bo/ni/to
Bonitos	Bo/ni/tos
Bor	Bor
BraBo	Bra/Bo
Brelos	Bre/los
BriNkando	BriN/ka/ndo
Brimos	Bri/mos
Brir	Brir
Bu	Bu
Bum	Bum
Buskando	Bus/ka/ndo
Buskarlo	Bus/kar/lo
D#ntes	D#/ntes
D#s	D#s
D$rman	D$/rman
D$rme	D$/rme
D$rmee	D$/rme/e
D$rmela	D$/rme/la
D$rmelaa	D$/rme/la/a
D$rmelo	D$/rme/lo
D$rmes	D$/rmes
D$rmo	D$/rmo
D*	D*
D3	D3
D@	D@
D@s	D@s
DaDos	Da/Dos
Dale	Da/le
Dalee	Da/le/e
Dame	Da/me
Damee	Da/me/e
Damel3	Da/me/l3
Damela	Da/me/la
Damelo	Da/me/lo
Damos	Da/mos
Dan#la	Da/n#/la
Dana	Da/na
Danae	Da/na/e
Dando	Da/ndo
Dandu	Da/ndu
Dar	Dar
Dar@	Da/r@
Darle	Dar/le
Darlee	Dar/le/e
Das	Das
Dasela	Da/se/la
Daselaa	Da/se/la/a
Daselo	Da/se/lo
De	De
DeDito	De/Di/to
DeDitos	De/Di/tos
DeDo	De/Do
DeDos	De/Dos
Dea	De/a
Dee	De/e
Del	Del
Demas	De/mas
Dentro	Den/tro
Des	Des
Desaser	De/sa/ser
Desir	De/sir
Desirle	De/sir/le
Dexa	De/xa
Dexame	De/xa/me
Dexaste	De/xa/ste
Dexastee	De/xa/ste/e
Dexo	De/xo
Di	Di
DiBuxitos	Di/Bu/xi/tos
DiBuxos	Di/Bu/xos
Dile	Di/le
Diles	Di/les
Dios	Di/os
Dis#ndo	Di/s#/ndo
Disen	Di/sen
Dises	Di/ses
Don-	Do/n-
Dona	Do/na
Dond*	Do/nd*
Donde	Do/nde
Dondee	Do/nde/e
Dormimos	Do/rmi/mos
Dormir	Do/rmir
Dos	Dos
Dr%n	Dr%n
G!ta	G!/ta
G$ro	G$/ro
G&	G&
G&G&	G&/G&
G&pa	G&/pa
G&picima	G&/pi/ci/ma
G&po	G&/po
G&rDa	G&r/Da
G&rDaDos	G&r/Da/Dos
G&rDalas	G&r/Da/las
G&rDamos	G&r/Da/mos
G&rDar	G&r/Dar
G&rDarlo	G&r/Dar/lo
G&rDarlos	G&r/Dar/los
G&rDo	G&r/Do
G&u	G&/u
GaBi	Ga/Bi
GaRa	Ga/Ra
GaRo	Ga/Ro
Gajinita	Ga/ji/ni/ta
Gajo	Ga/jo
Gat3	Ga/t3
Gatito	Ga/ti/to
Gato	Ga/to
Gatoo	Ga/to/o
GloBo	Glo/Bo
GloBos	Glo/Bos
GoRita	Go/Ri/ta
Golpear	Gol/pe/ar
GorDa	Gor/Da
GorDo	Gor/Do
Grande	Gra/nde
Grandee	Gra/nde/e
Grandota	Gra/ndo/ta
Grandote	Gra/ndo/te
Gras%s	Gra/s%s
Gripa	Gri/pa
Gust3	Gu/st3
Gusta	Gu/sta
Gustaa	Gu/sta/a
Gustan	Gu/stan
Gustar	Gu/star
Gustaron	Gu/sta/ron
Gusto	Gu/sto
Je	Je
ReGlando	Re/Gla/ndo
ReGlandu	Re/Gla/ndu
ReGlar	Re/Glar
RiB-	Ri/B-
RiBa	Ri/Ba
a	a
aB#n	a/B#n
aB#ntame	a/B#/nta/me
aB#ntamee	a/B#/nta/me/e
aB#ntamela	a/B#/nta/me/la
aB#ntamelaa	a/B#/nta/me/la/a
aBaxo	a/Ba/xo
aBer	a/Ber
aBi+	a/Bi/+
aBia	a/Bi/a
aBla	a/Bla
aBlale	a/Bla/le
aBlarl*	a/Blar/l*
aBloo	a/Blo/o
aBr#ron	a/Br#/ron
aBr@	a/Br@
aBranos	a/Bra/nos
aBre	a/Bre
aBree	a/Bre/e
aBrelo	a/Bre/lo
aBrimos	a/Bri/mos
aBrir	a/Brir
aBrirlo	a/Brir/lo
aBriste	a/Bri/ste
aD@s	a/D@s
aDentro	a/Den/tro
aDios	a/Di/os
aG!t-	a/G!/t-
aG!ta	a/G!/ta
aG!taa	a/G!/ta/a
aG&	a/G&
aG&rDar	a/G&r/Dar
aGaR+	a/Ga/R+
aGaRa	a/Ga/Ra
aGaRala	a/Ga/Ra/la
aGaRale	a/Ga/Ra/le
aGaRalo	a/Ga/Ra/lo
aGaRar	a/Ga/Rar
aGaRe	a/Ga/Re
aGaRo	a/Ga/Ro
aGo	a/Go
aGu	a/Gu
aReGlando	a/Re/Gla/ndo
aRiBa	a/Ri/Ba
aRiBaa	a/Ri/Ba/a
aRujaa	a/Ru/ja/a
aa	a/a
af$ra	a/f$/ra
aj#	a/j#
aj%	a/j%
aja	a/ja
ajaa	a/ja/a
ajer	a/jer
aji	a/ji
ajuDale	a/ju/Da/le
ajuDar	a/ju/Dar
ajuDas	a/ju/Das
ak#	a/k#
ak%	a/k%
ak-	a/k-
ak@	a/k@
aka	a/ka
akaBe	a/ka/Be
akaBo	a/ka/Bo
akaa	a/ka/a
aki	a/ki
akii	a/ki/i
akomoDalo	a/ko/mo/Da/lo
al	al
al*Da	a/l*/Da
al*Daa	a/l*/Da/a
alGo	al/Go
aleGas	a/le/Gas
alexandro	a/le/xand/ro
alfonso	al/fon/so
am	am
amarijo	a/ma/ri/jo
ambr*	a/mbr*
ambre	a/mbre
ambree	a/mbre/e
ame	a/me
amiGo	a/mi/Go
amor	a/mor
an	an
ana	a/na
andale	a/nda/le
ando	a/ndo
anita	a/ni/ta
anitaa	a/ni/ta/a
aoj	a/oj
aor+	a/o/r+
aor-	a/o/r-
aora	a/o/ra
aoraa	a/o/ra/a
aorit+	a/o/ri/t+
aorita	a/o/ri/ta
