!	ㄤ
#	ㅠ
$	㊉
$N	㌡
$l	㈓
%	㈨
&	㈅
*	㍂
+	㈆
+c	ㅔ
-	〒
3	ㅩ
@	㈤
B#	ㄧ
B#n	っ
B$	㍤
B$l	㎖
B*	㍴
B+	㑱
B-	㎂
B3	〈
Ba	ゅ
Ban	㌠
Bar	ㅡ
Bas	す
Be	㄄
Be.	㎉
Bel	㉨
Ben	ㄘ
Ber	〖
Bern	㆕
Bes	ㄣ
Bes.	㎐
Bi	ば
Bla	㊗
BlaN	㑁
Blar	㑣
Bli	㑶
Blo	㉅
Bo	㄀
Bol	㌑
Bor	㐠
Bos	ㄦ
Br#	㆐
Br@	ㆉ
Bra	㈱
Bre	㈇
Bri	㎕
BriN	㐥
Brir	㐐
Bro	も
Bros	㍉
Bu	㐧
Bum	㑆
Bus	㐑
D#	㍇
D#s	㍒
D$	㍩
D%	㉉
D*	㒓
D-	㔣
D3	㒐
D@	㐨
D@s	㐳
Da	げ
DaD	ㄈ
Dar	ょ
Das	ぴ
De	ㅈ
Del	㍳
Den	と
Des	㌓
Di	ㄕ
Dir	㎘
Do	づ
Dos	ㆁ
Dr%n	㑗
Dre	ㅆ
Dri	ㅸ
Dro	㆙
G!	㉶
G$	㈕
G&	ㅂ
G&r	ゔ
G+	㔅
G+G	㈵
G-	㔃
G3	㐤
Ga	㄰
Gan	㐱
Gar	〱
Gas	㉆
Ge	ゖ
Gen	㎔
Gi	㉄
Gla	㑴
Glar	㑢
Glo	㒄
Go	ㅳ
Gol	㐹
Gor	㈩
Gos	㈢
Gra	ㅒ
Gre	㐩
Gri	㍈
Gu	ㄴ
J*	㈃
Je	゙
R*	㐉
R+	㔙
R3	㔡
Ra	㄃
Ran	㐲
Rar	㈘
Re	ぁ
Res	ㆀ
Ri	ㅵ
Ro	ㅖ
Ros	㍷
Ru	㐅
a	〉
al	㈔
am	㌂
an	㌴
ar	ㅕ
as	㒃
ax	㍙
b#	㔄
b#n	ゐ
b$	㈹
b$l	㔕
b-	㎁
b3	㔈
ba	ㄓ
bas	㍀
be	㆓
ben	ㅢ
ber	㒙
bes	㔤
bi	や
bo	㔢
bor	㐆
bra	ㄇ
bu	㑇
bum	㑐
c*	し
c@	ㅷ
ca	〡
caN	㈥
car	㊃
cc	㑅
ccc	㍨
ce	〳
cel	㌀
ces	㌅
ci	べ
cit	㒅
co	㉃
cos	㉇
cu	㌣
d#s	㒘
d$	㍱
da	〦
de	㌃
di	ぐ
do	㈸
dos	ㅹ
e	〠
eD	㉔
el	〲
em	㍗
en	だ
er	㈐
es	〴
f$	ㄠ
f$r	㊒
fa	㎅
fal	ㆈ
fe	㍆
fer	㍖
fi	ㆃ
fil	㎆
flo	㉖
flor	㊓
fo	㌥
fon	㈰
fru	㐘
fu	㌷
g&	㊄
g&r	ㆂ
ga	㊑
gi	㉠
go	㈦
gor	㍃
gra	ご
gu	㎑
i	〓
ir	㌗
j#	㌱
j%	㐸
j-	㈣
j3	㑸
j@	㐰
ja	つ
jan	㒇
jar	㑷
jas	ㅧ
je	㆖
jer	㑩
ji	ㆄ
jo	ㄒ
jos	㊆
ju	ㅐ
k#	〨
k#n	ㅥ
k#s	㑄
k$	㌒
k%	㍕
k&	〃
k&l	ㆆ
k*	㔁
k-	㉙
k3	㔐
k@	㔉
ka	ゆ
kam	㈴
kan	㍁
kar	】
kas	㒒
ke	〗
ker	㑕
ki	〷
kl+	㉈
klo	㐣
ko	々
kom	㑙
kon	ㄱ
ks$l	㈑
ksak	㍣
ku	ㄥ
kum	㌤
l	ざ
l#	㑥
l$	ㅲ
l%	㌄
l*	㍥
l+	㔂
l-	ㄷ
l3	㍸
l@	㌰
la	〣
lar	㍠
las	ゑ
le	け
leN	㑘
ler	㐦
les	㒀
li	め
lin	㉁
lir	㍢
lis	㉕
lo	〥
los	ㄔ
lu	㎈
m	㉱
m!	ぢ
m#	㑂
m#n	㐙
m$	㉤
m$r	㈶
m%	㉗
m&	㔖
m+	ㅶ
m-	㊀
m@n	㈉
ma	こ
maG	を
man	㉷
mar	〕
mas	㄂
maz	㈒
mbr*	㔆
mbre	㎄
me	〢
men	㌶
mer	㊙
mes	㐕
mi	、
mis	㐖
mo	ㄐ
mon	㐇
mor	㉘
mos	〙
mu	ふ
mx	㍦
mx&	㑳
n	ㅙ
n#	㎇
n$	㍑
n%	㈙
n+	㎀
n-	㎗
n3	㍹
n@	㑀
nRi	㐡
na	〹
nah	㐔
nan	㈁
nar	㌐
nd!c	㍲
nd*	㔓
nda	㈠
nde	ぷ
ndes	㑈
ndo	ㅓ
ndu	ぇ
ne	じ
nen	㑲
ner	㉓
nes	ㅰ
ni	ん
nkon	㐵
no	む
nos	㊅
nta	㈧
ntar	㉲
ntas	〄
nte	㆔
ntes	㉹
nti	㎓
nto	㉳
nton	㈡
ntos	ㄡ
nu	㊇
o	え
oj	㑖
or	㑡
os	ㄖ
p#	㈄
p$	㊕
p$r	㌖
p$s	㉧
p*	㌉
p+	㈳
p-	㔑
p3N	ㅑ
p@	㈂
pa	ぃ
pam	㌧
pan	㈷
pas	㆗
pe	〤
pen	㐀
per	㑉
pes	㐁
pi	ㄨ
pic	㐗
pik	ㆇ
pin	ㅀ
pl@	㑨
pla	㌨
po	ㄹ
poN	㊐
pom	ㅣ
pon	ㅅ
por	〶
pr#	㊔
pr$	㍧
pre	㊁
pri	㑤
pst	㒆
pu	㉂
pum	〧
r	㒔
r#	㔘
r$	㍶
r%	㐈
r%m	㊂
r+	ㅘ
r-	ゃ
r3	㒕
r@	㈲
ra	。
ran	㑒
rar	㌘
ras	㌲
re	㆒
ren	よ
res	〩
rez	㑵
ri	ㄳ
ris	ち
rman	㑹
rmar	㐒
rme	㍰
rmes	㍵
rmi	㐃
rmir	ㅉ
rmo	㐄
rna	㒉
rne	㍄
rni	㌦
rnos	㈈
ro	て
rom	㎙
ron	㆑
ru	ㄗ
rum	㌆
run	ㄅ
s	び
s!	㔒
s#	う
s$	㈀
s%	㄁
s%s	さ
s&	ㅗ
s*	㌳
s*s	㍔
s+	㔇
s3	㐴
s@	㒖
s@n	㌔
sa	【
sal	㌩
sar	㑠
sas	〆
se	〘
sen	㉡
ser	あ
ses	ㅁ
si	ㄆ
siN	㍓
sin	㌸
sir	㎃
so	い
son	ㅱ
sor	㎒
sos	㉰
spa	㉸
spe	㉐
spo	㑃
st*	ㄵ
st+	㒑
st-	㍐
st3	ぅ
sta	へ
stan	ㄸ
star	㊖
stas	ㅃ
ste	ぱ
stel	㑰
stes	㍡
sti	㉩
sto	ㅨ
stor	㌕
stos	ゕ
stu	㔀
