!	ㄤ
#	ㅡ
#n	㐠
$	㊉
$N	㌢
$l	㈒
%	㈦
&	㈃
*	㍄
+	㈄
+c	ㅖ
-	〒
3	ㅰ
@	㈣
B#	ㄧ
B#n	ぢ
B$	㍨
B$l	㎘
B*	㍷
B+	㑰
B-	㎅
B3	〈
Ba	や
Ban	㌡
Bar	ㅢ
Bas	じ
Be	㄃
Bel	㉲
Ben	ㄗ
Ber	〖
Bern	㆓
Bes	ㄣ
Bi	ど
Bla	㊘
BlaN	㐸
Blar	㑡
Bli	㑷
Blo	㉄
Bo	゙
Bol	㌑
Bor	㐙
Bos	ㄦ
Br#	㆑
Br@	㆐
Bra	㈩
Bre	㈅
Bri	㎗
BriN	㐤
Brir	㐑
Bro	め
Bros	㍒
Bu	㐦
Bum	㑂
Bus	㐒
D#n	㍉
D#s	㍕
D$r	㍳
D%	㉈
D*	㒉
D-	㔥
D3	㒆
D@	㐧
D@s	㐱
Da	げ
DaD	ㄇ
Dan	㍐
Dar	ゆ
Das	ひ
De	ㅉ
Del	㍶
Den	で
Des	㌔
Di	ㄔ
Dir	㐀
Do	つ
Don	ふ
Dor	ㅐ
Dos	ㆂ
G!	㉹
G$	㈕
G&	ㅂ
G&r	ん
G+	㔀
G+G	㈳
G-	㒘
G3	㐣
Ga	㄰
Gan	ㅵ
Gar	〱
Gas	㉅
Ge	ゕ
Gen	㎕
Gi	㉃
Glan	㑳
Glar	㑠
Glo	㒃
Go	ㅴ
Gol	㐶
Gor	㈧
Gos	㈡
Gra	㌓
Gran	ㅔ
Gre	㐨
Gri	㍑
Gu	ㄴ
J*	㈁
Je	゘
R*	㐐
R+	㔘
R3	㔣
Ra	㄂
Ran	㐰
Rar	㈗
Re	ぁ
Res	ㆁ
Ri	ㅷ
Ro	ㅘ
Ros	㎀
Ru	㐅
a	〉
aD	㑓
al	㈔
am	㌃
an	㉗
ar	ㅗ
as	㒂
ax	㍢
az	ㅈ
b#	㒙
b#n	ら
b$	㈷
b$l	㔓
b-	㎄
b3	㔃
ba	ㄒ
bas	㍂
be	㆙
ben	ㅣ
ber	㒕
bes	㔦
bi	ゃ
bo	㔤
bor	㐆
br*	㔁
bra	ㄆ
bre	㎇
bu	㑃
bum	㑆
c*	ざ
c@	ㅹ
ca	〡
caN	㈤
car	㊄
ce	〳
cel	㌁
ces	㌅
ci	へ
cit	㒄
co	㉂
cos	㉆
cu	㌤
d!c	㍵
d#s	㒔
d$r	㍲
d*	㔑
da	〦
de	ぶ
des	㑄
di	ぐ
do	ㅕ
don	㈶
dor	㒒
dos	ㆀ
du	ぇ
e	〠
eD	㉘
el	〲
em	㍠
en	す
er	㈈
es	〴
f$	ㄙ
f$r	㊒
fa	㎈
fal	ㆉ
fe	㍈
fer	㍙
fi	ㆄ
fil	㎉
flo	㉠
flor	㊔
fo	㌦
fon	㈨
fru	㐗
fu	㌹
g&	㊅
g&r	ㆃ
ga	㊑
gi	㉤
go	㈥
gor	㍆
gra	ご
gran	㔔
gu	㎓
i	〓
ir	㌘
j#	㌳
j#n	㔇
j%	㐵
j%n	㔧
j-	㈢
j3	㑹
j@	㐩
ja	っ
jan	㍩
jar	㑸
jas	ㅨ
je	㆔
jer	㑨
ji	ㆅ
jo	ㄑ
jos	㊆
ju	ㅒ
k#	〨
k#n	ㅦ
k#s	㑁
k$n	㌒
k$r	㑒
k%	㍘
k%n	㔆
k&	㉔
k&l	ㆇ
k&n	〃
k*	㒗
k-	㉣
k3	㔈
k@	㔅
ka	ゅ
kam	㈲
kan	㍃
kar	】
kas	㒈
ke	〗
ker	㑐
ki	〷
kl+	㉇
klo	㐢
ko	々
kom	㑖
kon	ㄱ
ku	ㄥ
kum	㌥
l#n	㑤
l$	ㅳ
l%	㌄
l*	㍰
l*n	㐈
l+	㉐
l-	㎖
l-z	ㄷ
l3	㎁
l@	㌱
la	〣
lan	㑶
lar	㍣
las	ゐ
le	け
leN	㑕
ler	㐥
les	㒀
li	む
lin	㉀
lir	㍥
lis	㉙
lo	〥
los	ㄓ
lu	㎑
m!	ち
m#	㐹
m#n	㐘
m$	㉨
m$r	㈴
m%	㉡
m&	㔕
m+	ㅸ
m-	㊁
m@n	㈇
ma	こ
maG	ゑ
mak	㈉
man	㈙
mar	〕
mas	㄁
maz	㈑
me	〢
men	㌸
mer	㌀
mes	㍸
mi	、
mir	ㅑ
mis	㐕
mo	ㄉ
mon	㐇
mor	㉢
mos	〙
mosk	㉉
mu	び
mx&	㑲
n#	㎒
n#n	㎐
n$	㍔
n%	㈘
n+	㎃
n-	㎙
n3	㎂
n@	㐷
na	〹
nah	㐔
nan	㆘
nar	㌐
ne	し
nen	㑱
ner	㉖
nes	ㅱ
ni	を
no	べ
nos	㈆
nu	㊇
o	え
oj	㑑
om	㑣
or	㑴
os	ㄕ
p#	㈂
p#r	㌧
p$	㊖
p$r	㌗
p$s	㉱
p*	㌉
p+	㈱
p-	㔉
p3N	ㅓ
p@	㈀
pa	ぃ
paD	ㅆ
pam	㌨
pan	㈵
pas	㆕
pe	〤
peD	㆖
pen	㐂
per	㑅
pes	㐃
pi	ㄨ
pic	㐖
pik	ㆈ
pin	ㅀ
pl@	㑧
pla	㌩
po	ㄹ
poN	㊐
pom	ㅤ
pon	ㅅ
por	〶
pr#	㊕
pr$	㍱
pre	㊂
pri	㑢
pu	㉁
pum	〧
r#	㔗
r$	㍹
r%	㐉
r%m	㊃
r%n	㑔
r+	ㅠ
r-	も
r-z	ㄶ
r3	㒐
r@	㈰
ra	。
rak	㉑
ran	㈓
rar	㌙
ras	㌴
rat	㌣
re	ㅇ
ren	ょ
res	〩
rez	㑵
ri	ㄳ
ris	だ
ro	づ
rom	㐁
ron	㆒
ru	ㄖ
rum	㌆
run	㄄
s!	㔐
s#	ㄠ
s#k	㍦
s#n	う
s$	㆗
s$l	㈐
s%	㄀
s%n	㔙
s%s	さ
s&	ㅙ
s*	㌵
s*s	㍗
s+	㔂
s3	㐲
s@	㒑
s@n	㌕
sa	【
sak	㍧
sal	㌰
san	㍴
sar	㑗
sas	〆
se	〘
sen	㉥
ser	あ
ses	ㅁ
si	ㄅ
siN	㍖
sin	㍀
sir	㎆
so	い
son	ㅲ
sor	㎔
sos	㉴
span	㊀
spe	㉒
spo	㑀
st*	ㄵ
st+	㒇
st-	㍓
st3	ぅ
sta	ぷ
stan	ㄸ
star	㊗
stas	ㅃ
ste	ば
stel	㑩
stes	㍤
sti	㉳
sto	ㅩ
stor	㌖
stos	ゔ
stu	㒖
su	ㄈ
sus	㉩
t!	㒓
t#	㉦
t$	㔖
t%	㑇
t&	㐄
t&z	㔡
